date,month,year,number1,number2,zodiac
16,4,2022,508,413,Pisces
1,4,2022,870,578,Pisces
16,3,2022,989,788,Pisces
1,3,2022,691,234,Pisces
17,2,2022,816,592,Pisces
1,2,2022,509,485,Pisces
17,1,2022,529,119,Pisces
30,12,2021,547,419,Pisces
16,12,2021,522,476,Aquarius
1,12,2021,485,401,Aquarius
16,11,2021,844,245,Aquarius
1,11,2021,755,331,Aquarius
16,10,2021,798,295,Aquarius
1,10,2021,449,379,Aquarius
16,9,2021,379,7,Aquarius
1,9,2021,458,123,Aquarius
16,8,2021,355,160,Aquarius
1,8,2021,785,4,Aquarius
16,7,2021,927,233,Pisces
1,7,2021,511,414,Pisces
16,6,2021,668,447,Pisces
1,6,2021,978,723,Pisces
16,5,2021,970,276,Pisces
2,5,2021,498,129,Aquarius
16,4,2021,478,264,Aquarius
1,4,2021,577,393,Aquarius
16,3,2021,396,256,Aquarius
1,3,2021,806,51,Aquarius
16,2,2021,817,57,Aquarius
1,2,2021,651,282,Aquarius
17,1,2021,878,566,Aquarius
30,12,2020,924,321,Aquarius
16,12,2020,517,72,Capricorn
1,12,2020,984,834,Capricorn
16,11,2020,255,208,Capricorn
1,11,2020,245,62,Capricorn
16,10,2020,980,45,Capricorn
1,10,2020,595,110,Capricorn
16,9,2020,853,623,Capricorn
1,9,2020,957,342,Capricorn
16,8,2020,733,364,Capricorn
1,8,2020,809,578,Capricorn
16,7,2020,682,494,Capricorn
1,7,2020,307,94,Capricorn
16,6,2020,625,565,Capricorn
1,6,2020,582,562,Capricorn
1,4,2020,364,191,Capricorn
16,3,2020,661,404,Capricorn
1,3,2020,780,597,Capricorn
16,2,2020,918,30,Capricorn
1,2,2020,927,375,Capricorn
17,1,2020,595,379,Capricorn
30,12,2019,250,140,Capricorn
16,12,2019,665,555,Sagittarius
1,12,2019,457,13,Sagittarius
16,11,2019,194,85,Sagittarius
1,11,2019,206,21,Sagittarius
16,10,2019,598,132,Sagittarius
1,10,2019,797,606,Sagittarius
16,9,2019,939,925,Sagittarius
1,9,2019,439,274,Sagittarius
16,8,2019,580,563,Sagittarius
1,8,2019,795,562,Sagittarius
15,7,2019,556,113,Sagittarius
1,7,2019,375,6,Sagittarius
16,6,2019,800,127,Sagittarius
1,6,2019,560,215,Sagittarius
16,5,2019,828,18,Sagittarius
2,5,2019,699,374,Sagittarius
16,4,2019,968,966,Sagittarius
1,4,2019,975,403,Sagittarius
16,3,2019,877,154,Sagittarius
1,3,2019,837,830,Sagittarius
16,2,2019,879,612,Sagittarius
1,2,2019,948,197,Sagittarius
17,1,2019,660,127,Sagittarius
30,12,2018,884,701,Sagittarius
16,12,2018,369,297,Sagittarius
1,12,2018,988,561,Sagittarius
16,11,2018,876,140,Scorpio
1,11,2018,509,46,Scorpio
16,10,2018,212,192,Scorpio
1,10,2018,810,561,Scorpio
16,9,2018,297,155,Scorpio
1,9,2018,202,97,Scorpio
16,8,2018,815,591,Scorpio
1,8,2018,726,549,Scorpio
16,7,2018,362,138,Scorpio
1,7,2018,217,210,Scorpio
16,6,2018,868,132,Scorpio
1,6,2018,650,248,Scorpio
16,5,2018,506,47,Scorpio
2,5,2018,602,225,Scorpio
16,4,2018,526,76,Scorpio
1,4,2018,924,638,Scorpio
16,3,2018,489,205,Scorpio
2,3,2018,723,589,Scorpio
16,2,2018,748,230,Scorpio
1,2,2018,519,181,Scorpio
17,1,2018,397,236,Scorpio
30,12,2017,953,504,Scorpio
16,12,2017,938,290,Scorpio
1,12,2017,601,257,Scorpio
16,11,2017,628,477,Scorpio
1,11,2017,485,36,Scorpio
16,10,2017,287,128,Libra
1,10,2017,952,462,Libra
16,9,2017,388,340,Libra
1,9,2017,278,195,Libra
16,8,2017,945,253,Libra
1,8,2017,989,787,Libra
16,7,2017,823,390,Libra
1,7,2017,688,5,Libra
16,6,2017,740,373,Libra
1,6,2017,881,581,Libra
16,5,2017,603,490,Libra
2,5,2017,923,773,Libra
16,4,2017,807,241,Libra
1,4,2017,709,500,Libra
16,3,2017,941,694,Libra
1,3,2017,577,52,Libra
16,2,2017,953,375,Libra
1,2,2017,628,426,Libra
17,1,2017,836,516,Libra
30,12,2016,769,477,Libra
16,12,2016,716,199,Libra
1,12,2016,450,148,Libra
16,11,2016,570,558,Libra
1,11,2016,752,38,Libra
16,10,2016,587,32,Libra
1,10,2016,458,17,Libra
16,9,2016,160,43,Virgo
1,9,2016,669,630,Virgo
16,8,2016,631,596,Virgo
1,8,2016,871,472,Virgo
16,7,2016,925,158,Virgo
1,7,2016,302,173,Virgo
16,6,2016,749,321,Virgo
1,6,2016,937,880,Virgo
16,5,2016,268,87,Virgo
2,5,2016,671,46,Virgo
16,4,2016,523,507,Virgo
1,4,2016,852,285,Virgo
16,3,2016,973,4,Virgo
1,3,2016,743,155,Virgo
16,2,2016,535,309,Virgo
1,2,2016,76,54,Virgo
17,1,2016,786,743,Virgo
30,12,2015,895,596,Virgo
17,12,2015,638,94,Virgo
1,12,2015,175,714,Virgo
16,11,2015,802,643,Virgo
1,11,2015,473,166,Virgo
16,10,2015,54,412,Virgo
1,10,2015,799,440,Virgo
16,9,2015,84,375,Virgo
1,9,2015,819,68,Virgo
16,8,2015,648,624,Virgo
1,8,2015,889,648,Virgo
16,7,2015,294,830,Virgo
1,7,2015,567,81,Virgo
16,6,2015,532,386,Virgo
2,6,2015,969,876,Virgo
16,5,2015,928,851,Virgo
2,5,2015,195,366,Leo
16,4,2015,973,495,Leo
1,4,2015,861,557,Leo
16,3,2015,757,623,Leo
1,3,2015,8,857,Leo
16,2,2015,392,825,Leo
1,2,2015,8,813,Leo
16,1,2015,877,595,Leo
30,12,2014,950,535,Leo
16,12,2014,901,775,Leo
1,12,2014,161,580,Leo
16,11,2014,709,480,Leo
1,11,2014,979,855,Leo
16,10,2014,910,848,Leo
1,10,2014,520,159,Leo
16,9,2014,790,342,Leo
1,9,2014,490,477,Leo
16,8,2014,633,187,Leo
1,8,2014,637,623,Leo
16,7,2014,205,117,Leo
1,7,2014,864,441,Cancer
16,6,2014,576,639,Cancer
1,6,2014,636,409,Cancer
16,5,2014,246,112,Cancer
2,5,2014,797,673,Cancer
16,4,2014,634,355,Cancer
1,4,2014,938,835,Cancer
16,3,2014,904,400,Cancer
1,3,2014,798,753,Cancer
16,2,2014,521,74,Cancer
1,2,2014,976,888,Cancer
16,1,2014,510,149,Cancer
30,12,2013,275,503,Cancer
16,12,2013,826,742,Cancer
1,12,2013,980,74,Cancer
16,11,2013,753,672,Cancer
1,11,2013,173,256,Cancer
16,10,2013,952,876,Cancer
1,10,2013,28,650,Cancer
16,9,2013,754,574,Cancer
1,9,2013,45,800,Cancer
16,8,2013,201,448,Cancer
1,8,2013,329,718,Cancer
16,7,2013,526,584,Cancer
1,7,2013,904,903,Cancer
16,6,2013,502,114,Cancer
1,6,2013,768,716,Cancer
16,5,2013,945,390,Cancer
2,5,2013,830,516,Cancer
16,4,2013,828,906,Cancer
1,4,2013,725,670,Cancer
16,3,2013,529,175,Cancer
1,3,2013,775,133,Cancer
16,2,2013,386,109,Cancer
1,2,2013,782,641,Cancer
16,1,2013,334,374,Cancer
30,12,2012,832,126,Cancer
16,12,2012,8,778,Cancer
1,12,2012,303,489,Cancer
16,11,2012,627,804,Cancer
1,11,2012,338,285,Cancer
16,10,2012,868,396,Cancer
1,10,2012,873,291,Cancer
16,9,2012,770,123,Cancer
1,9,2012,639,148,Cancer
16,8,2012,730,775,Cancer
1,8,2012,745,796,Cancer
16,7,2012,42,159,Cancer
1,7,2012,611,530,Cancer
16,6,2012,547,479,Cancer
1,6,2012,399,895,Taurus
16,5,2012,101,902,Taurus
2,5,2012,468,426,Taurus
16,4,2012,754,722,Taurus
1,4,2012,332,616,Taurus
16,3,2012,350,573,Taurus
1,3,2012,199,711,Taurus
16,2,2012,420,111,Taurus
1,2,2012,598,498,Taurus
16,1,2012,639,941,Taurus
30,12,2011,597,541,Taurus
16,12,2011,295,651,Taurus
1,12,2011,739,857,Taurus
16,11,2011,993,406,Taurus
1,11,2011,221,65,Taurus
16,10,2011,507,329,Taurus
1,10,2011,499,189,Taurus
16,9,2011,589,812,Taurus
1,9,2011,821,533,Taurus
16,8,2011,5,74,Taurus
1,8,2011,221,660,Taurus
16,7,2011,609,534,Taurus
1,7,2011,463,780,Taurus
16,6,2011,582,162,Taurus
1,6,2011,556,801,Aries
16,5,2011,889,71,Aries
2,5,2011,524,133,Aries
16,4,2011,593,397,Aries
1,4,2011,36,40,Aries
16,3,2011,737,463,Aries
1,3,2011,396,926,Aries
16,2,2011,388,384,Aries
1,2,2011,432,121,Aries
16,1,2011,546,758,Pisces
30,12,2010,933,186,Pisces
16,12,2010,306,533,Pisces
1,12,2010,86,474,Pisces
16,11,2010,129,907,Pisces
1,11,2010,739,801,Pisces
16,10,2010,872,385,Pisces
1,10,2010,246,3,Pisces
16,9,2010,75,431,Pisces
1,9,2010,96,656,Aries
16,8,2010,689,448,Aries
1,8,2010,191,727,Aries
16,7,2010,24,572,Aries
1,7,2010,961,918,Aries
16,6,2010,816,681,Aries
1,6,2010,673,996,Pisces
16,5,2010,8,770,Pisces
2,5,2010,618,517,Pisces
16,4,2010,285,154,Pisces
1,4,2010,40,447,Pisces
16,3,2010,756,229,Pisces
1,3,2010,470,374,Pisces
16,2,2010,985,362,Pisces
1,2,2010,403,694,Pisces
16,1,2010,646,781,Aquarius
30,12,2009,598,419,Aquarius
16,12,2009,142,524,Aquarius
1,12,2009,252,412,Aquarius
16,11,2009,536,72,Aquarius
1,11,2009,465,642,Aquarius
16,10,2009,122,226,Aquarius
1,10,2009,255,714,Aquarius
16,9,2009,166,539,Aquarius
1,9,2009,924,446,Aquarius
16,8,2009,658,577,Aquarius
1,8,2009,374,421,Aquarius
16,7,2009,836,356,Aquarius
1,7,2009,385,799,Aquarius
16,6,2009,179,954,Aquarius
1,6,2009,642,240,Aquarius
16,5,2009,892,362,Aquarius
2,5,2009,301,947,Aquarius
16,4,2009,570,7,Aquarius
1,4,2009,44,113,Aquarius
16,3,2009,63,424,Aquarius
1,3,2009,295,665,Aquarius
16,2,2009,434,115,Aquarius
1,2,2009,427,15,Aquarius
16,1,2009,885,842,Aquarius
30,12,2008,984,831,Capricorn
16,12,2008,959,803,Capricorn
1,12,2008,957,617,Capricorn
16,11,2008,877,824,Capricorn
1,11,2008,929,421,Capricorn
16,10,2008,648,644,Capricorn
1,10,2008,395,311,Capricorn
16,9,2008,691,557,Capricorn
1,9,2008,904,413,Capricorn
16,8,2008,744,457,Capricorn
1,8,2008,913,408,Capricorn
16,7,2008,576,486,Capricorn
1,7,2008,523,490,Capricorn
16,6,2008,870,639,Capricorn
1,6,2008,916,747,Capricorn
16,5,2008,214,355,Capricorn
2,5,2008,792,1,Capricorn
16,4,2008,8,43,Capricorn
1,4,2008,586,200,Capricorn
16,3,2008,158,85,Capricorn
1,3,2008,691,371,Capricorn
16,2,2008,892,630,Capricorn
1,2,2008,796,732,Capricorn
16,1,2008,965,942,Capricorn
30,12,2007,787,741,Capricorn
16,12,2007,702,460,Capricorn
1,12,2007,659,627,Sagittarius
16,11,2007,844,752,Sagittarius
1,11,2007,648,524,Sagittarius
16,10,2007,846,685,Sagittarius
1,10,2007,667,126,Sagittarius
16,9,2007,608,604,Sagittarius
1,9,2007,520,518,Sagittarius
16,8,2007,424,312,Sagittarius
1,8,2007,962,885,Sagittarius
16,7,2007,947,334,Sagittarius
1,7,2007,949,638,Sagittarius
16,6,2007,589,424,Sagittarius
1,6,2007,433,523,Sagittarius
16,5,2007,585,751,Sagittarius
2,5,2007,729,881,Sagittarius
16,4,2007,522,866,Sagittarius
1,4,2007,22,814,Sagittarius
16,3,2007,350,906,Sagittarius
1,3,2007,801,942,Sagittarius
16,2,2007,384,979,Sagittarius
1,2,2007,865,287,Sagittarius
16,1,2007,803,845,Sagittarius
30,12,2006,971,164,Sagittarius
16,12,2006,197,647,Sagittarius
1,12,2006,236,91,Sagittarius
16,11,2006,347,680,Scorpio
1,11,2006,905,137,Scorpio
16,10,2006,832,358,Scorpio
1,10,2006,951,879,Scorpio
16,9,2006,121,864,Scorpio
1,9,2006,626,93,Scorpio
16,8,2006,103,230,Scorpio
1,8,2006,487,817,Scorpio
16,7,2006,432,518,Scorpio
1,7,2006,839,17,Scorpio
16,6,2006,250,595,Scorpio
1,6,2006,664,382,Scorpio
16,5,2006,696,811,Scorpio
2,5,2006,117,82,Scorpio
16,4,2006,877,769,Scorpio
1,4,2006,522,301,Scorpio
16,3,2006,320,205,Scorpio
1,3,2006,914,108,Scorpio
16,2,2006,280,135,Scorpio
1,2,2006,384,149,Scorpio
16,1,2006,200,965,Scorpio
30,12,2005,150,742,Scorpio
16,12,2005,994,958,Scorpio
1,12,2005,770,27,Scorpio
16,11,2005,137,887,Scorpio
1,11,2005,216,9,Scorpio
16,10,2005,269,410,Libra
1,10,2005,275,792,Libra
16,9,2005,57,124,Libra
1,9,2005,47,969,Libra
16,8,2005,915,103,Libra
1,8,2005,272,386,Libra
16,7,2005,642,460,Libra
1,7,2005,244,641,Libra
16,6,2005,605,74,Libra
1,6,2005,405,616,Libra
16,5,2005,693,465,Libra
2,5,2005,73,815,Libra
16,4,2005,627,346,Libra
1,4,2005,807,224,Libra
16,3,2005,394,783,Libra
1,3,2005,669,998,Libra
16,2,2005,65,192,Libra
1,2,2005,571,863,Libra
16,1,2005,479,39,Libra
30,12,2004,179,627,Libra
16,12,2004,183,999,Libra
1,12,2004,691,984,Libra
16,11,2004,904,744,Libra
1,11,2004,661,745,Libra
16,10,2004,890,438,Libra
1,10,2004,806,781,Libra
16,9,2004,867,774,Virgo
1,9,2004,456,14,Virgo
16,8,2004,288,559,Virgo
2,8,2004,377,510,Virgo
16,7,2004,154,461,Virgo
1,7,2004,261,664,Virgo
16,6,2004,986,459,Virgo
1,6,2004,992,425,Virgo
16,5,2004,253,526,Virgo
2,5,2004,101,822,Virgo
16,4,2004,721,634,Virgo
1,4,2004,851,257,Virgo
16,3,2004,830,478,Virgo
1,3,2004,206,759,Virgo
16,2,2004,72,798,Virgo
1,2,2004,765,769,Virgo
16,1,2004,391,926,Virgo
30,12,2003,216,743,Virgo
16,12,2003,571,735,Virgo
1,12,2003,217,559,Virgo
16,11,2003,474,594,Virgo
1,11,2003,264,216,Virgo
16,10,2003,470,84,Virgo
1,10,2003,563,379,Virgo
16,9,2003,494,996,Virgo
1,9,2003,249,793,Virgo
16,8,2003,624,206,Leo
1,8,2003,460,7,Leo
16,7,2003,363,281,Leo
1,7,2003,282,395,Leo
16,6,2003,6,922,Leo
1,6,2003,686,354,Leo
16,5,2003,362,699,Leo
2,5,2003,522,386,Leo
16,4,2003,823,796,Leo
1,4,2003,902,732,Leo
16,3,2003,38,702,Leo
1,3,2003,628,707,Leo
17,2,2003,857,980,Leo
1,2,2003,229,806,Leo
16,1,2003,262,519,Leo
30,12,2002,609,689,Leo
16,12,2002,849,75,Leo
1,12,2002,809,337,Leo
16,11,2002,906,789,Leo
1,11,2002,383,747,Leo
16,10,2002,177,244,Leo
1,10,2002,189,358,Leo
16,9,2002,169,823,Leo
1,9,2002,395,46,Leo
16,8,2002,147,953,Leo
1,8,2002,529,544,Leo
16,7,2002,34,539,Cancer
1,7,2002,802,763,Cancer
16,6,2002,845,662,Cancer
1,6,2002,485,328,Cancer
16,5,2002,508,394,Cancer
2,5,2002,503,695,Cancer
16,4,2002,85,997,Cancer
1,4,2002,456,225,Cancer
16,3,2002,943,707,Cancer
1,3,2002,856,434,Cancer
16,2,2002,769,88,Cancer
1,2,2002,859,621,Cancer
16,1,2002,109,434,Cancer
30,12,2001,107,611,Cancer
16,12,2001,902,363,Cancer
1,12,2001,925,773,Cancer
16,11,2001,275,600,Cancer
1,11,2001,431,694,Cancer
16,10,2001,670,110,Cancer
1,10,2001,58,287,Cancer
16,9,2001,89,291,Cancer
1,9,2001,532,218,Cancer
16,8,2001,588,900,Cancer
1,8,2001,848,864,Cancer
16,7,2001,767,282,Cancer
1,7,2001,546,985,Gemini
16,6,2001,922,606,Gemini
1,6,2001,920,310,Gemini
16,5,2001,80,55,Gemini
2,5,2001,99,294,Gemini
16,4,2001,378,800,Gemini
1,4,2001,877,407,Gemini
16,3,2001,350,903,Gemini
1,3,2001,380,292,Gemini
16,2,2001,305,673,Gemini
1,2,2001,63,245,Gemini
16,1,2001,35,778,Gemini
30,12,2000,357,985,Gemini
16,12,2000,605,313,Gemini
1,12,2000,933,170,Gemini
16,11,2000,304,44,Gemini
1,11,2000,407,818,Gemini
16,10,2000,372,133,Gemini
1,10,2000,70,618,Gemini
16,9,2000,230,860,Gemini
1,9,2000,474,365,Gemini
16,8,2000,120,155,Gemini
1,8,2000,463,665,Gemini
16,7,2000,656,739,Gemini
1,7,2000,190,689,Gemini
16,6,2000,771,311,Taurus
1,6,2000,810,981,Taurus
16,5,2000,174,929,Taurus
2,5,2000,740,979,Taurus
16,4,2000,362,131,Taurus
1,4,2000,18,511,Taurus
16,3,2000,326,71,Taurus
1,3,2000,416,627,Taurus
16,2,2000,181,618,Taurus
1,2,2000,597,94,Aries
16,1,2000,847,269,Aries
30,12,1999,301,540,Aries
16,12,1999,656,143,Aries
1,12,1999,999,999,Aries
16,11,1999,293,324,Aries
1,11,1999,141,570,Aries
16,10,1999,467,750,Taurus
1,10,1999,234,167,Taurus
16,9,1999,734,283,Taurus
1,9,1999,861,275,Taurus
16,8,1999,111,371,Taurus
1,8,1999,994,303,Taurus
16,7,1999,4,343,Taurus
1,7,1999,211,1,Taurus
16,6,1999,742,859,Aries
1,6,1999,340,951,Aries
16,5,1999,870,884,Aries
2,5,1999,184,715,Aries
16,4,1999,859,67,Aries
1,4,1999,670,858,Aries
16,3,1999,415,606,Aries
2,3,1999,479,927,Aries
16,2,1999,782,404,Aries
1,2,1999,752,735,Pisces
16,1,1999,976,854,Pisces
30,12,1998,983,924,Pisces
16,12,1998,560,498,Pisces
1,12,1998,200,944,Pisces
16,11,1998,794,785,Pisces
1,11,1998,289,44,Pisces
16,10,1998,695,755,Pisces
1,10,1998,470,728,Pisces
16,9,1998,311,401,Pisces
1,9,1998,60,551,Pisces
16,8,1998,677,644,Pisces
1,8,1998,862,771,Pisces
16,7,1998,935,904,Pisces
1,7,1998,314,606,Pisces
16,6,1998,533,219,Pisces
1,6,1998,530,781,Pisces
16,5,1998,950,981,Pisces
2,5,1998,325,143,Pisces
16,4,1998,664,705,Pisces
1,4,1998,786,882,Pisces
16,3,1998,506,943,Pisces
1,3,1998,562,127,Pisces
16,2,1998,213,356,Pisces
1,2,1998,941,788,Aquarius
16,1,1998,792,833,Aquarius
30,12,1997,788,977,Aquarius
16,12,1997,408,142,Aquarius
1,12,1997,168,677,Aquarius
16,11,1997,38,730,Aquarius
1,11,1997,64,283,Aquarius
16,10,1997,125,459,Aquarius
1,10,1997,698,746,Aquarius
16,9,1997,935,687,Aquarius
1,9,1997,716,658,Aquarius
16,8,1997,569,596,Aquarius
1,8,1997,440,414,Aquarius
16,7,1997,944,750,Aquarius
1,7,1997,92,412,Aquarius
16,6,1997,504,982,Aquarius
1,6,1997,60,784,Aquarius
16,5,1997,769,896,Aquarius
2,5,1997,728,56,Aquarius
16,4,1997,85,279,Aquarius
1,4,1997,15,880,Aquarius
16,3,1997,214,705,Aquarius
1,3,1997,364,791,Aquarius
16,2,1997,315,533,Aquarius
1,2,1997,79,703,Aquarius
16,1,1997,381,20,Capricorn
30,12,1996,584,158,Capricorn
16,12,1996,438,608,Capricorn
1,12,1996,566,920,Capricorn
16,11,1996,577,580,Capricorn
1,11,1996,964,255,Capricorn
16,10,1996,824,865,Capricorn
1,10,1996,484,544,Capricorn
16,9,1996,400,976,Capricorn
1,9,1996,501,927,Capricorn
16,8,1996,875,609,Capricorn
1,8,1996,669,833,Capricorn
16,7,1996,10,281,Capricorn
1,7,1996,543,94,Capricorn
16,6,1996,916,735,Capricorn
1,6,1996,584,961,Capricorn
17,5,1996,523,718,Capricorn
2,5,1996,978,661,Capricorn
16,4,1996,52,155,Capricorn
1,4,1996,278,839,Capricorn
16,3,1996,526,694,Capricorn
1,3,1996,945,443,Capricorn
16,2,1996,779,428,Capricorn
1,2,1996,994,549,Capricorn
16,1,1996,971,661,Capricorn
30,12,1995,928,145,Sagittarius
16,12,1995,64,639,Sagittarius
1,12,1995,73,387,Sagittarius
16,11,1995,756,776,Sagittarius
1,11,1995,393,194,Sagittarius
16,10,1995,233,716,Sagittarius
1,10,1995,296,88,Sagittarius
16,9,1995,802,582,Sagittarius
1,9,1995,644,255,Sagittarius
16,8,1995,342,618,Sagittarius
1,8,1995,293,669,Sagittarius
16,7,1995,758,303,Sagittarius
1,7,1995,879,667,Sagittarius
16,6,1995,393,507,Sagittarius
1,6,1995,688,168,Sagittarius
17,5,1995,488,511,Sagittarius
2,5,1995,273,268,Sagittarius
16,4,1995,376,681,Sagittarius
1,4,1995,978,674,Sagittarius
16,3,1995,220,91,Sagittarius
1,3,1995,152,22,Sagittarius
16,2,1995,126,462,Sagittarius
1,2,1995,574,805,Sagittarius
16,1,1995,2,253,Sagittarius
16,12,1992,601,851,Libra
1,12,1992,406,63,Libra
16,11,1992,632,295,Libra
1,11,1992,263,46,Libra
16,10,1992,312,964,Libra
1,10,1992,765,300,Scorpio
16,9,1992,127,623,Scorpio
1,9,1992,307,56,Scorpio
16,8,1992,251,151,Scorpio
1,8,1992,935,575,Scorpio
16,7,1992,324,339,Scorpio
1,7,1992,813,702,Scorpio
16,6,1992,880,221,Scorpio
1,6,1992,351,729,Libra
16,5,1992,738,890,Libra
2,5,1992,444,104,Libra
16,4,1992,662,325,Libra
1,4,1992,863,242,Libra
16,3,1992,578,737,Libra
1,3,1992,902,231,Libra
16,2,1992,849,599,Libra
1,2,1992,952,944,Virgo
16,1,1992,543,132,Virgo
30,12,1991,87,917,Virgo
16,12,1991,667,597,Virgo
1,12,1991,794,602,Virgo
16,11,1991,477,643,Virgo
1,11,1991,537,272,Virgo
16,10,1991,566,314,Libra
1,10,1991,318,928,Libra
16,9,1991,298,381,Libra
1,9,1991,237,119,Libra
16,8,1991,377,182,Libra
1,8,1991,509,947,Libra
16,7,1991,846,882,Libra
1,7,1991,134,766,Virgo
16,6,1991,785,268,Virgo
1,6,1991,303,804,Virgo
16,5,1991,269,802,Virgo
2,5,1991,296,836,Virgo
16,4,1991,711,206,Virgo
1,4,1991,416,8,Virgo
16,3,1991,715,866,Virgo
1,3,1991,783,928,Virgo
16,2,1991,658,596,Leo
1,2,1991,455,87,Leo
16,1,1991,645,388,Leo
30,12,1990,516,962,Leo
16,12,1990,359,238,Leo
1,12,1990,586,444,Leo
16,11,1990,20,50,Leo
1,11,1990,516,829,Virgo
16,10,1990,928,431,Virgo
1,10,1990,977,748,Virgo
16,9,1990,211,747,Virgo
1,9,1990,938,639,Virgo
16,8,1990,746,644,Virgo
1,8,1990,70,445,Virgo
16,7,1990,619,770,Virgo
1,7,1990,641,295,Leo
16,6,1990,144,371,Leo
1,6,1990,115,492,Leo
16,5,1990,815,465,Leo
2,5,1990,644,78,Leo
16,4,1990,59,489,Leo
1,4,1990,637,717,Leo
16,3,1990,275,559,Leo
1,3,1990,452,567,Leo
16,2,1990,596,601,Cancer
1,2,1990,481,104,Cancer
16,1,1990,234,284,Cancer

